Bairro;Latitude;Longitude;Casos confirmados;Casos suspeitos
Importado;;;1;0
Village das Palmeiras;-22.726.257;-45.127.576;1;0
Vila Rica;-22.745.641;-45.138.708;5;2
Vila Passos;-22.737.741;-45.100.853;16;9
Vila Nunes;-22.725.050;-45.111.431;16;5
Vila Normandia;-22.729.126;-45.117.126;2;0
Vila Hepacaré;-22.741.775;-45.124.724;2;3
Vila Geny;-22.730.194;-45.109.793;3;3
Vila dos Comerciários;-22.759.326;-45.129.314;2;2
Vila Brito;-22.718.049;-45.109.978;3;4
São Roque;-22.739.620;-45.134.190;1;0
Santo Antonio;-22.742.915;-45.130.895;3;7
Santa Lucrécia;-22.781.061;-45.094.550;1;0
Santa Edwiges;-22.731.675;-45.104.508;4;3
Parque das Rodovias;-22.730.309;-45.089.435;6;3
Parque Mondesir;-22.754.956;-45.118.377;3;1
Olaria;-22.743.152;-45.114.738;1;3
Novo Horizonte;-22.751.791;-45.088.033;1;2
Nova Lorena;-22.720.813;-45.120.737;10;1
Jardim Primavera;-22.761.791;-45.138.015;3;0
Industrial;-22.748.318;-45.123.456;5;1
Cruz;-22.745.465;-45.105.103;18;11
Centro;-22.729.903;-45.121.952;4;4
CECAP;-22.755.519;-45.130.763;2;3
Cabelinha;-22.725.566;-45.122.772;2;3
Vila Zélia;-22.739.605;-45.112.385;0;1
Vila Cida;-22.727.725;-45.120.941;0;1
Ponte Nova;-22.704.797;-45.132.441;0;1
Campo dos Ipês;-22.694.667;-45.127.018;0;1
